UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
14;13;1;2025;0;1;1;1;2;1;4;2;4;5;1;1;1;2;11;7;1;1;1;1;2;1;2;2;1;1; ;2000000; ;1;3000000;1;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;6;1;6;2;100;3;0
14;15;1;2025;0;1;1;1;2;1;4;3;4;5;1;1;1;2;1;2;1;6;1;1;3;1;2;2;1;1; ;1000000; ;6; ;6;6;6; ; ;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;2;124;3;0
14;16;1;2025;0;1;1;2;3;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;6; ; ;900000; ;6; ;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;6;1;6;1;6;2;138;3;0
14;26;1;2025;0;1;2;0;2;5;2;2;4;5;6;1;1;2;11;7;1;6;1;1;2;1;4;2;4; ;800000; ; ;6; ;6;6;1;1;6;1;1;1;6;1;6;1;6;6;1;6;6;1;6;6;6;4;183;3;0
14;35;1;2025;0;1;1;1;2;3;1;1;4;5;1;1;1;2;1;2;1;6;1;1;1;6;4;2;4; ;400000; ; ;6; ;6;6;1;1;6;6;6;1;6;1;6;6;6;6;1;6;6;6;1;6;6;2;120;3;0
14;47;1;2025;0;1;1;0;1;3;1;1;4;5;1;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;800000; ; ;6; ;6;6;1;1;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;1;137;3;0
14;50;1;2025;0;1;0;1;1;1;4;1;4;5;1;1;6;2;11;7;1;6;1;1;1;1;2;2;3;3; ;5000000; ;1;2700000;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;1;116;3;0
14;57;1;2025;0;1;2;2;4;1;5;4;4;5;1;1;1;2;11;7;1;1;1;1;1;1;2;2;1;1; ;99999999999;99999999999;1;99999999999;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;6;6;6;6;2;118;2;1
14;66;1;2025;0;1;2;1;3;1;11;8;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;8000000; ;1;3750000;1;1;1;1;6;6;1;1;1;1;6;1;6;1;1;6;6;1;1;1;6;4;109;3;0
30;9;1;2025;0;1;1;3;4;1;1;1;4;5;6;1;1;2;1;2;1;6;1;1;1;1;4;2;3;3; ;800000; ;6; ;6;6;6; ; ;1;1;1;6;1;6;1;6;6;6;6;6;6;1;6;6;4;88;3;0
30;11;1;2025;0;1;5;3;8;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;2000000; ;1;99999999999;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;4;76;3;0
30;12;1;2025;0;1;1;1;2;1;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;3;3; ;2000000; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;6;6;6;1;1;6;6;6;4;45;3;0
30;17;1;2025;0;1;1;3;4;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;3;1;2;2;1;1; ;1000000; ;6; ;6;1;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;6;1;6;1;4;71;3;0
30;18;1;2025;0;1;0;2;2;1;4;4;4;5;1;1;1;2;11;7;1;6;1;1;3;1;2;2;1;1; ;4500000; ;1;99999999999;1;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;1;6;3;95;3;0
30;32;1;2025;0;1;1;2;3;1;1;1;4;5;4;1;1;2;11;7;1;6;1;1;1;6;2;2;1;4; ;800000; ;6; ;6;6;1;1;6;6;1;1;1;1;6;1;6;6;1;6;6;1;1;6;6;3;60;3;0
30;42;1;2025;0;1;5;1;6;1;1;1;4;5;6;1;1;2;11;7;1;6;1;1;1;6;2;2;4; ;700000; ; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;6;6;6;1;1;1;1;6;2;80;3;0
30;48;1;2025;0;1;0;2;2;2;1;1;4;5;6;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;400000; ; ;6; ;6;6;1;1;6;1;1;1;6;1;6;6;6;6;6;6;6;6;6;6;6;4;76;3;0
30;49;1;2025;0;1;1;1;2;3;1;1;4;4;6;1;1;2;11;7;1;6;1;1;3;6;7;2;4; ;500000; ; ;6; ;6;6;6; ; ;6;1;1;6;6;6;6;1;6;6;6;6;6;1;6;6;3;67;3;0
44;1;1;2025;0;1;1;1;2;2;1;1;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;750000; ; ;6; ;6;6;1;1;6;6;1;1;6;1;6;1;6;6;1;6;1;1;1;6;1;3;114;3;0
