UPM,NVIVI,NHOGA,DPTO,DPTO_NOMBRE,AREA,AREA_DESC,TOTAL,V23A1,TIENE_INTERNET,V23C1,V23C2,EDAD_JEFE,SEXO_JEFE_DESC,ANIOS_ESTUDIO_JEFE,NIVEL_EDUC_JEFE,CAT_OCUP_JEFE_DESC,IPCM,QUINTIL_ING,DECIL_ING,FACTOR
14,13,1,0,Asunción,1,Urbana,2,1,1,1.0,6.0,65,Hombre,15.0,4. Superior (13+ años),Inactivo/No aplica,9470322.87750703,5,10,100
14,15,1,0,Asunción,1,Urbana,2,6,0,,,78,Hombre,6.0,2. Básica completa (6-9 años),Inactivo/No aplica,2080500.0,4,7,124
14,16,1,0,Asunción,1,Urbana,3,1,1,1.0,6.0,40,Hombre,17.0,4. Superior (13+ años),Empleado/a privado/a,3535490.19607843,5,9,138
14,26,1,0,Asunción,1,Urbana,2,6,1,1.0,6.0,32,Hombre,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,3671470.58823529,5,9,183
14,35,1,0,Asunción,1,Urbana,2,6,1,1.0,6.0,24,Hombre,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,3457301.47058823,5,9,120
14,47,1,0,Asunción,1,Urbana,1,6,1,1.0,6.0,40,Hombre,13.0,4. Superior (13+ años),Empleado/a público/a,5517404.4117647,5,10,137
14,50,1,0,Asunción,1,Urbana,1,1,1,1.0,6.0,63,Mujer,18.0,4. Superior (13+ años),Inactivo/No aplica,10478988.9705882,5,10,116
14,57,1,0,Asunción,1,Urbana,4,6,1,1.0,6.0,71,Hombre,12.0,3. Media/Bachillerato (10-12 años),Inactivo/No aplica,798188.150831238,1,2,118
14,66,1,0,Asunción,1,Urbana,3,1,1,1.0,6.0,31,Hombre,16.0,4. Superior (13+ años),Empleado/a privado/a,6607797.18137254,5,10,109
30,9,1,0,Asunción,1,Urbana,4,6,0,,,80,Mujer,4.0,1. Básica incompleta (0-5 años),Inactivo/No aplica,2566299.49604032,4,8,88
30,11,1,0,Asunción,1,Urbana,8,1,1,1.0,6.0,61,Hombre,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,2355146.58363359,4,7,76
30,12,1,0,Asunción,1,Urbana,2,6,1,1.0,6.0,70,Mujer,9.0,2. Básica completa (6-9 años),Cuenta propia,2952742.26061915,4,8,45
30,17,1,0,Asunción,1,Urbana,4,6,1,1.0,6.0,60,Mujer,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,2271724.26205904,4,7,71
30,18,1,0,Asunción,1,Urbana,2,1,1,1.0,6.0,36,Mujer,17.0,4. Superior (13+ años),Empleador/a,8698348.88852805,5,10,95
30,32,1,0,Asunción,1,Urbana,3,6,1,1.0,6.0,27,Mujer,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,1664055.64098872,3,5,60
30,42,1,0,Asunción,1,Urbana,6,6,1,1.0,6.0,43,Mujer,13.0,4. Superior (13+ años),Cuenta propia,1496017.49268059,3,5,80
30,48,1,0,Asunción,1,Urbana,2,6,1,1.0,6.0,20,Mujer,12.0,3. Media/Bachillerato (10-12 años),Empleado/a privado/a,1298128.14974802,2,4,76
30,49,1,0,Asunción,1,Urbana,2,6,0,,,71,Mujer,4.0,1. Básica incompleta (0-5 años),Inactivo/No aplica,1347844.9600432,2,4,67
44,1,1,0,Asunción,1,Urbana,2,6,1,1.0,6.0,73,Mujer,2.0,1. Básica incompleta (0-5 años),Inactivo/No aplica,1617189.19037356,3,5,114
44,2,1,0,Asunción,1,Urbana,1,6,1,1.0,6.0,26,Hombre,16.0,4. Superior (13+ años),Empleado/a privado/a,3188505.74712643,5,9,110
44,9,1,0,Asunción,1,Urbana,3,6,1,1.0,6.0,57,Mujer,14.0,4. Superior (13+ años),Empleado/a público/a,1429887.49425287,2,4,120
44,11,1,0,Asunción,1,Urbana,8,1,1,1.0,6.0,69,Hombre,17.0,4. Superior (13+ años),Empleado/a público/a,1991637.38793103,3,6,91
44,12,1,0,Asunción,1,Urbana,3,1,1,1.0,6.0,71,Hombre,12.0,3. Media/Bachillerato (10-12 años),Empleador/a,2856369.73180076,4,8,72
44,21,1,0,Asunción,1,Urbana,1,6,1,1.0,6.0,20,Hombre,13.0,4. Superior (13+ años),Inactivo/No aplica,1793534.48275862,3,6,98
