Variable,Tipo de Dato,Valores No Nulos,% Faltantes,Valores Únicos
UPM,int64,17092,0.0,1750
NVIVI,int64,17092,0.0,160
NHOGA,int64,17092,0.0,2
DPTO,int64,17092,0.0,16
AREA,int64,17092,0.0,2
TOTAL,int64,17092,0.0,17
V23A1,int64,17092,0.0,2
V23B,int64,17092,0.0,2
V23C1,float64,10618,37.88,2
V23C2,float64,10618,37.88,2
FACTOR,int64,17092,0.0,496
TIENE_INTERNET,int64,17092,0.0,2
AREA_DESC,object,17092,0.0,2
DPTO_NOMBRE,object,17092,0.0,16
EDAD_JEFE,int64,17092,0.0,87
SEXO_JEFE,int64,17092,0.0,2
ANIOS_ESTUDIO_JEFE,float64,17090,0.01,19
CAT_OCUP_JEFE,float64,13353,21.88,6
SEXO_JEFE_DESC,object,17092,0.0,2
NIVEL_EDUC_JEFE,object,17090,0.01,4
CAT_OCUP_JEFE_DESC,object,17092,0.0,7
IPCM,float64,17092,0.0,14071
QUINTIL_ING,int64,17092,0.0,5
DECIL_ING,int64,17092,0.0,10
